YearMonth,Value
188001,-0.0125
188002,-0.1339
188003,-0.1474
188004,-0.0611
188005,-0.0927
188006,-0.1853
188007,-0.1686
188008,-0.0929
188009,-0.0997
188010,-0.1959
188011,-0.2850
188012,-0.0939
188101,-0.0377
188102,-0.0457
188103,0.0117
188104,0.0542
188105,0.0068
188106,-0.1147
188107,-0.0589
188108,-0.0734
188109,-0.2010
188110,-0.2376
188111,-0.2387
188112,-0.0670
188201,0.0734
188202,0.0198
188203,0.0564
188204,-0.1431
188205,-0.1670
188206,-0.1564
188207,-0.0825
188208,-0.0231
188209,-0.0106
188210,-0.2234
188211,-0.1449
188212,-0.1896
188301,-0.2804
188302,-0.3072
188303,-0.1529
188304,-0.1904
188305,-0.1580
188306,-0.0218
188307,-0.0978
188308,-0.0647
188309,-0.1621
188310,-0.1779
188311,-0.1862
188312,-0.0944
188401,-0.2026
188402,-0.1624
188403,-0.2258
188404,-0.2004
188405,-0.1481
188406,-0.2122
188407,-0.3186
188408,-0.2877
188409,-0.2410
188410,-0.1861
188411,-0.2867
188412,-0.1631
188501,-0.4414
188502,-0.2708
188503,-0.1627
188504,-0.2700
188505,-0.2957
188506,-0.3214
188507,-0.2534
188508,-0.2568
188509,-0.2108
188510,-0.1421
188511,-0.1431
188512,0.0350
188601,-0.1241
188602,-0.2933
188603,-0.2966
188604,-0.1815
188605,-0.1685
188606,-0.2583
188607,-0.1749
188608,-0.2278
188609,-0.2060
188610,-0.2387
188611,-0.2093
188612,-0.1740
188701,-0.3952
188702,-0.3886
188703,-0.1744
188704,-0.2035
188705,-0.2461
188706,-0.2275
188707,-0.2820
188708,-0.3261
188709,-0.1947
188710,-0.3086
188711,-0.1690
188712,-0.2079
188801,-0.3975
188802,-0.3402
188803,-0.3108
188804,-0.1851
188805,-0.1694
188806,-0.1054
188807,-0.1258
188808,-0.1716
188809,-0.0800
188810,0.0057
188811,-0.0567
188812,0.0288
188901,-0.1069
188902,0.0020
188903,0.1074
188904,0.0389
188905,-0.0423
188906,-0.0864
188907,-0.1749
188908,-0.1513
188909,-0.2372
188910,-0.2066
188911,-0.2902
188912,-0.1915
189001,-0.3721
189002,-0.4409
189003,-0.3324
189004,-0.2695
189005,-0.3992
189006,-0.2971
189007,-0.2914
189008,-0.3373
189009,-0.3634
189010,-0.3064
189011,-0.3513
189012,-0.2418
189101,-0.3919
189102,-0.5344
189103,-0.2224
189104,-0.2617
189105,-0.1474
189106,-0.2127
189107,-0.2379
189108,-0.2404
189109,-0.1610
189110,-0.2969
189111,-0.4061
189112,-0.0541
189201,-0.2426
189202,-0.1434
189203,-0.3120
189204,-0.3267
189205,-0.3148
189206,-0.2932
189207,-0.3608
189208,-0.3395
189209,-0.2300
189210,-0.2572
189211,-0.4799
189212,-0.4844
189301,-0.6897
189302,-0.6209
189303,-0.2321
189304,-0.3585
189305,-0.3506
189306,-0.2455
189307,-0.2085
189308,-0.3366
189309,-0.2680
189310,-0.2202
189311,-0.1723
189312,-0.2571
189401,-0.4448
189402,-0.2305
189403,-0.2100
189404,-0.3103
189405,-0.3083
189406,-0.3548
189407,-0.2766
189408,-0.2780
189409,-0.2612
189410,-0.2213
189411,-0.3031
189412,-0.2476
189501,-0.4426
189502,-0.4191
189503,-0.2883
189504,-0.1877
189505,-0.2097
189506,-0.2950
189507,-0.2024
189508,-0.2270
189509,-0.1370
189510,-0.1365
189511,-0.1612
189512,-0.0745
189601,-0.1063
189602,-0.0810
189603,-0.2094
189604,-0.2678
189605,-0.1045
189606,-0.0920
189607,-0.0526
189608,-0.0727
189609,-0.0677
189610,-0.0109
189611,-0.1676
189612,0.0456
189701,-0.1901
189702,-0.1110
189703,-0.1887
189704,-0.0044
189705,-0.0249
189706,-0.0994
189707,-0.0395
189708,-0.0756
189709,-0.0270
189710,-0.1619
189711,-0.2613
189712,-0.2976
189801,-0.0412
189802,-0.2806
189803,-0.6607
189804,-0.3551
189805,-0.3155
189806,-0.2133
189807,-0.2440
189808,-0.2333
189809,-0.2137
189810,-0.3287
189811,-0.2535
189812,-0.0137
189901,-0.1060
189902,-0.2858
189903,-0.2587
189904,-0.2002
189905,-0.1395
189906,-0.2016
189907,-0.1317
189908,-0.0660
189909,-0.0574
189910,-0.0311
189911,0.1352
189912,-0.1704
190001,-0.2453
190002,-0.0968
190003,-0.0457
190004,-0.0975
190005,-0.0407
190006,-0.0529
190007,-0.0761
190008,-0.0733
190009,-0.0665
190010,0.0442
190011,-0.1418
190012,0.0281
190101,-0.1267
190102,-0.0800
190103,-0.0359
190104,-0.0691
190105,-0.1290
190106,-0.1305
190107,-0.1564
190108,-0.1362
190109,-0.2110
190110,-0.2838
190111,-0.1427
190112,-0.2427
190201,-0.0962
190202,-0.0448
190203,-0.2062
190204,-0.2773
190205,-0.2726
190206,-0.3419
190207,-0.2937
190208,-0.2725
190209,-0.2407
190210,-0.2881
190211,-0.3477
190212,-0.3708
190301,-0.2168
190302,-0.0920
190303,-0.2847
190304,-0.3587
190305,-0.3957
190306,-0.3832
190307,-0.3437
190308,-0.4403
190309,-0.3812
190310,-0.4397
190311,-0.3963
190312,-0.3909
190401,-0.5474
190402,-0.4728
190403,-0.5171
190404,-0.4773
190405,-0.4340
190406,-0.4472
190407,-0.4636
190408,-0.4357
190409,-0.4704
190410,-0.4119
190411,-0.1742
190412,-0.2466
190501,-0.3614
190502,-0.6248
190503,-0.4005
190504,-0.4583
190505,-0.2966
190506,-0.2577
190507,-0.1983
190508,-0.2301
190509,-0.2300
190510,-0.3046
190511,-0.0972
190512,-0.1359
190601,-0.1810
190602,-0.2414
190603,-0.1534
190604,-0.0557
190605,-0.2230
190606,-0.1813
190607,-0.2516
190608,-0.2390
190609,-0.3127
190610,-0.2869
190611,-0.3748
190612,-0.1697
190701,-0.3488
190702,-0.4071
190703,-0.2803
190704,-0.3518
190705,-0.4695
190706,-0.3764
190707,-0.3592
190708,-0.3389
190709,-0.3463
190710,-0.3074
190711,-0.5085
190712,-0.3975
190801,-0.3668
190802,-0.3805
190803,-0.6126
190804,-0.4885
190805,-0.4064
190806,-0.4100
190807,-0.3937
190808,-0.4848
190809,-0.4034
190810,-0.5239
190811,-0.4877
190812,-0.3887
190901,-0.5552
190902,-0.4628
190903,-0.5436
190904,-0.5331
190905,-0.4583
190906,-0.4209
190907,-0.4417
190908,-0.3118
190909,-0.3676
190910,-0.4016
190911,-0.2786
190912,-0.4143
191001,-0.3104
191002,-0.3648
191003,-0.4288
191004,-0.3449
191005,-0.3112
191006,-0.3623
191007,-0.3353
191008,-0.3409
191009,-0.3425
191010,-0.4298
191011,-0.5035
191012,-0.5688
191101,-0.5144
191102,-0.5337
191103,-0.5729
191104,-0.5169
191105,-0.4813
191106,-0.4487
191107,-0.4686
191108,-0.4591
191109,-0.4044
191110,-0.3499
191111,-0.2640
191112,-0.2505
191201,-0.2833
191202,-0.1143
191203,-0.3179
191204,-0.2074
191205,-0.2298
191206,-0.2634
191207,-0.3206
191208,-0.4577
191209,-0.5130
191210,-0.5260
191211,-0.4170
191212,-0.3629
191301,-0.3592
191302,-0.3955
191303,-0.4123
191304,-0.3559
191305,-0.3971
191306,-0.3841
191307,-0.3600
191308,-0.3340
191309,-0.3626
191310,-0.3170
191311,-0.1400
191312,-0.0428
191401,0.0921
191402,-0.1229
191403,-0.1649
191404,-0.2503
191405,-0.1696
191406,-0.1978
191407,-0.2127
191408,-0.1785
191409,-0.1829
191410,-0.1013
191411,-0.1259
191412,-0.1027
191501,-0.1390
191502,-0.0136
191503,-0.1066
191504,0.0195
191505,-0.0723
191506,-0.0875
191507,-0.0312
191508,-0.0749
191509,-0.1141
191510,-0.1783
191511,-0.0173
191512,-0.0524
191601,-0.1775
191602,-0.1754
191603,-0.2967
191604,-0.1959
191605,-0.2242
191606,-0.3835
191607,-0.2903
191608,-0.2770
191609,-0.2600
191610,-0.2681
191611,-0.3936
191612,-0.5732
191701,-0.4305
191702,-0.4726
191703,-0.4259
191704,-0.3112
191705,-0.4475
191706,-0.3406
191707,-0.1723
191708,-0.1719
191709,-0.0587
191710,-0.2602
191711,-0.1325
191712,-0.5330
191801,-0.2145
191802,-0.2858
191803,-0.1739
191804,-0.2943
191805,-0.2793
191806,-0.1782
191807,-0.1992
191808,-0.1724
191809,-0.1473
191810,-0.0987
191811,-0.1113
191812,-0.3167
191901,-0.2411
191902,-0.0530
191903,-0.2387
191904,-0.0700
191905,-0.1819
191906,-0.2326
191907,-0.2129
191908,-0.2108
191909,-0.1775
191910,-0.2201
191911,-0.3203
191912,-0.2971
192001,-0.1145
192002,-0.2223
192003,-0.0583
192004,-0.2087
192005,-0.1679
192006,-0.2531
192007,-0.2404
192008,-0.2270
192009,-0.1734
192010,-0.2109
192011,-0.2472
192012,-0.3858
192101,-0.0597
192102,-0.1482
192103,-0.2150
192104,-0.2029
192105,-0.1890
192106,-0.1641
192107,-0.1121
192108,-0.1918
192109,-0.1450
192110,-0.0691
192111,-0.1876
192112,-0.0798
192201,-0.3185
192202,-0.2931
192203,-0.0762
192204,-0.1264
192205,-0.2625
192206,-0.2784
192207,-0.2603
192208,-0.2771
192209,-0.2501
192210,-0.2500
192211,-0.1975
192212,-0.1582
192301,-0.2110
192302,-0.3779
192303,-0.2693
192304,-0.3350
192305,-0.2480
192306,-0.1940
192307,-0.2791
192308,-0.2797
192309,-0.2431
192310,-0.1609
192311,0.0313
192312,0.0040
192401,-0.2514
192402,-0.1847
192403,-0.1139
192404,-0.2458
192405,-0.2026
192406,-0.2261
192407,-0.2201
192408,-0.2879
192409,-0.2831
192410,-0.2884
192411,-0.2917
192412,-0.3892
192501,-0.3228
192502,-0.2778
192503,-0.1681
192504,-0.1614
192505,-0.2081
192506,-0.2253
192507,-0.2096
192508,-0.1367
192509,-0.1011
192510,-0.1243
192511,0.0597
192512,0.1122
192601,0.1732
192602,0.0860
192603,0.0818
192604,-0.1252
192605,-0.1266
192606,-0.1178
192607,-0.1549
192608,-0.0864
192609,-0.0992
192610,-0.0762
192611,-0.0734
192612,-0.2097
192701,-0.1698
192702,-0.1870
192703,-0.2534
192704,-0.2117
192705,-0.2231
192706,-0.1980
192707,-0.0993
192708,-0.1095
192709,-0.0219
192710,0.0204
192711,-0.0369
192712,-0.3071
192801,-0.0672
192802,-0.1328
192803,-0.2591
192804,-0.2384
192805,-0.1802
192806,-0.2748
192807,-0.1744
192808,-0.1983
192809,-0.1862
192810,-0.1231
192811,-0.0661
192812,-0.1648
192901,-0.4799
192902,-0.5411
192903,-0.2611
192904,-0.2954
192905,-0.2849
192906,-0.2731
192907,-0.2742
192908,-0.2109
192909,-0.2121
192910,-0.1173
192911,-0.0982
192912,-0.5093
193001,-0.3254
193002,-0.2008
193003,-0.0509
193004,-0.1944
193005,-0.1971
193006,-0.1131
193007,-0.0626
193008,-0.0858
193009,-0.1037
193010,0.0011
193011,0.1383
193012,0.0065
193101,-0.0509
193102,-0.2231
193103,-0.0067
193104,-0.1648
193105,-0.1528
193106,-0.0229
193107,-0.0176
193108,-0.0142
193109,-0.0097
193110,0.0069
193111,-0.1129
193112,-0.0993
193201,0.1514
193202,-0.1707
193203,-0.1814
193204,-0.0427
193205,-0.1696
193206,-0.1669
193207,-0.1142
193208,-0.1839
193209,-0.0792
193210,-0.0941
193211,-0.2060
193212,-0.1904
193301,-0.3060
193302,-0.3170
193303,-0.2517
193304,-0.2077
193305,-0.2157
193306,-0.2043
193307,-0.1864
193308,-0.1930
193309,-0.2251
193310,-0.1904
193311,-0.2597
193312,-0.4105
193401,-0.3115
193402,-0.0234
193403,-0.2610
193404,-0.2351
193405,-0.0471
193406,-0.0084
193407,-0.0963
193408,-0.0601
193409,-0.1267
193410,-0.0700
193411,0.0041
193412,-0.0281
193501,-0.2895
193502,0.1690
193503,-0.1486
193504,-0.2554
193505,-0.2032
193506,-0.1723
193507,-0.1154
193508,-0.1006
193509,-0.0913
193510,-0.0109
193511,-0.2674
193512,-0.1735
193601,-0.2536
193602,-0.3117
193603,-0.2103
193604,-0.1772
193605,-0.1164
193606,-0.1073
193607,-0.0125
193608,-0.0551
193609,-0.0405
193610,-0.0218
193611,-0.0256
193612,-0.0177
193701,-0.1681
193702,0.0410
193703,-0.1821
193704,-0.1252
193705,-0.0181
193706,0.0122
193707,-0.0022
193708,0.0922
193709,0.1313
193710,0.1139
193711,0.0110
193712,-0.0900
193801,-0.0382
193802,-0.0538
193803,0.0302
193804,0.0434
193805,-0.0191
193806,-0.0932
193807,-0.0495
193808,-0.0159
193809,0.0312
193810,0.0743
193811,0.0035
193812,-0.2536
193901,-0.1656
193902,-0.1104
193903,-0.1886
193904,-0.1296
193905,-0.0396
193906,-0.0130
193907,0.0033
193908,0.0560
193909,0.0106
193910,-0.0409
193911,0.0476
193912,0.4089
194001,-0.1208
194002,0.0552
194003,0.0721
194004,0.1304
194005,0.0567
194006,0.1049
194007,0.1471
194008,0.0935
194009,0.1489
194010,0.1027
194011,0.1031
194012,0.2691
194101,0.1846
194102,0.2307
194103,0.1033
194104,0.2235
194105,0.2483
194106,0.1641
194107,0.2092
194108,0.1792
194109,0.0902
194110,0.3144
194111,0.2270
194112,0.2141
194201,0.3048
194202,0.1010
194203,0.1809
194204,0.1953
194205,0.1712
194206,0.2109
194207,0.0811
194208,0.0474
194209,0.1207
194210,0.1542
194211,0.1677
194212,0.1564
194301,-0.0211
194302,0.1732
194303,0.0794
194304,0.1739
194305,0.1368
194306,0.0257
194307,0.1865
194308,0.1039
194309,0.1491
194310,0.3197
194311,0.2494
194312,0.3576
194401,0.4247
194402,0.3084
194403,0.3678
194404,0.2747
194405,0.2763
194406,0.3385
194407,0.3187
194408,0.2789
194409,0.3886
194410,0.3213
194411,0.1536
194412,0.1035
194501,0.1597
194502,0.0192
194503,0.1091
194504,0.2785
194505,0.1839
194506,0.1447
194507,0.1689
194508,0.3619
194509,0.2637
194510,0.2646
194511,0.1959
194512,-0.0422
194601,0.2250
194602,0.0902
194603,0.0032
194604,0.1783
194605,-0.0279
194606,-0.0990
194607,-0.0342
194608,-0.0662
194609,-0.0154
194610,-0.0032
194611,-0.0148
194612,-0.2619
194701,-0.1833
